id,Leaf_score_ratio,Stem_score_ratio
LOAL-100,0.3599236079364164,0.4171039757131326
LOAL-101,0,0
LOAL-102,0.5771601883432528,0.6035533905932737
LOAL-103,0.22360679774997896,0.5122819323447918
LOAL-104,0.2879834411740013,0.451820628654607
LOAL-105,0.16125643515688814,0.48112671340337965
LOAL-106,0.9030931089239487,0.9564354645876385
LOAL-107,0.2041241452319315,0.25
LOAL-108,0.6580745694194067,0.6930857671552391
LOAL-109,0.934895361432108,0.8600728205076612
LOAL-110,0.5954426657081437,0.6632953685493415
LOAL-111,0.31024321782194,0.2488865907766063
LOAL-112,0.5590169943749475,0.6324555320336759
LOAL-113,0.40005600520608997,0.5345224838248488
LOAL-114,0.24023097913401742,0.4998353851582681
LOAL-115,0.585815116482993,0.6348670935583789
LOAL-116,0.6837837762617283,0.5957186901376424
LOAL-117,0,0.2062945171272963
LOAL-118,0.09128709291752768,0.15811388300841897
LOAL-119,0.6435546013708264,0.7035261006375797
LOAL-12,0.4211471205055986,0.5108883371294929
LOAL-120,1,1
LOAL-121,0.5268582872451257,0.6185240796333874
LOAL-122,0.779654620455289,0.7745966692414834
LOAL-123,0,0.10206207261596575
LOAL-124,0.5698507394258592,0.7351817271651073
LOAL-126,0.3518247263562599,0.48296291314453416
LOAL-127,1,1
LOAL-128,0.8087643616042355,0.8145401764942942
LOAL-129,0.6351291925163468,0.7589463881750421
LOAL-13,0.10814761408717503,0.42123672547589464
LOAL-130,0.6211253389986893,0.6031180696957429
LOAL-131,0.6030226891555273,0.6546536707079771
LOAL-132,0.3496706079294438,0.42015998861825155
LOAL-133,0.22896224130886902,0.3415212882298612
LOAL-134,0.40906730879824504,0.5656285218097451
LOAL-135,0.4374582359448664,0.4624354832996922
LOAL-136,1,1
LOAL-137,0.34344336196330355,0.4104186623592278
LOAL-138,0,0
LOAL-139,0.6324555320336759,0.816496580927726
LOAL-14,0.7302786964989832,0.6440833619549314
LOAL-140,0.5827200088541664,0.6708203932499369
