id,Leaf_score_ratio,Stem_score_ratio,AUDPC_sqrt
ILL6002,0.8455632467121539,0.7894134632205754,141
ILW-180,0.02439732862642962,0.18017472453159467,22
LOAL-1,0.31590043987309085,0.34597186750129005,46.337538405872024
LOAL-10,0.225443501206117,0.5,42.25263511871306
LOAL-100,0.3963151945523379,0.5093974998505083,74.86957181177206
LOAL-101,0,0,0
LOAL-102,0.4402788771072666,0.4781178536948045,51.153873056392115
LOAL-103,0.2581988897471611,0.5122819323447918,86.08124983582854
LOAL-104,0.3098144127545213,0.3221353591922411,37.85773200854135
LOAL-105,0.09214653437536464,0.2749295505162169,40.796607195443265
LOAL-106,0.9511844635310913,0.9295583781982709,166.53868361486278
LOAL-107,0.11664236870396086,0.20674479935713685,32.17906445550442
LOAL-108,0.6847151684310446,0.6921164947483445,120.60739201550223
LOAL-109,0.70238075314233,0.823173735662872,134.36123893256263
LOAL-11,1,0.9330127018922193,169.34875533567998
LOAL-110,0.4442919630258827,0.5651224222373064,87.26351326804223
LOAL-111,0.32887618938518925,0.32397889463829616,42.44659010953586
LOAL-112,0.8679719808875561,0.816362173472282,139.98770873105065
LOAL-113,0.3476510505939562,0.49710438882846697,53.08014428764754
LOAL-114,0.4126239942138174,0.43985866688095804,57.383714870633156
LOAL-115,0.7046245468433363,0.7010845373020439,133.35418519850555
LOAL-116,0.7683740242440957,0.6231314229717586,84.30463606725213
LOAL-117,0,0.2062945171272963,33.15908034399089
LOAL-118,0.0521640530957301,0.09035079029052513,14.293440963681721
LOAL-119,0.56922523942332,0.5814104402550319,97.53897975580941
LOAL-12,0.3555208715326386,0.53153717036735,79.54646014048251
LOAL-120,0.25,0.25,46.224873734152915
LOAL-121,0.3800685772828126,0.42799445188376845,61.09637942829086
LOAL-122,0.47353097304063324,0.4768639600689712,78.9103103611725
LOAL-123,0.1364389504979315,0.06804138174397717,11.796383174709248
LOAL-124,0.5865640559482163,0.6911562149659224,104.92012068393947
LOAL-126,0.39618918702992545,0.4902645217968767,77.12741150949269
LOAL-127,0.25,0.25,43.02003202709022
LOAL-128,0.8859569691138095,0.854483683747105,139.6069482654106
LOAL-129,0.5404914794313647,0.37947319408752106,73.03559969480723
LOAL-13,0.34326273205758323,0.2527420352855368,45.15959037393944
LOAL-130,0.45919481456962435,0.5216593631920294,78.87523740872385
LOAL-131,0.4810278163664673,0.6422168082702681,72.6004991966836
LOAL-132,0.3165242471179366,0.34110667652279336,55.960028219550736
LOAL-133,0.43305691268136803,0.48368214296138706,59.60193002617032
LOAL-134,0.35039511658867234,0.5112872383095295,78.55950077176713
LOAL-135,0.42590725819742375,0.2642488475998241,56.08286478282214
LOAL-136,0.7118033988749894,0.6683281572999747,108.86886546179011
LOAL-137,0.45156135975230594,0.44881066420527305,77.86011810634346
LOAL-138,0.30618621784789724,0.3535533905932738,54.40135142809835
LOAL-139,0.6324555320336759,0.816496580927726,127.80193008453874
LOAL-14,0.7105519860546484,0.522286082193337,106.62019707323905
LOAL-140,0.8181960276574947,0.7137067878119201,128.7107702920477
LOAL-141,0.12569434751478353,0.27063245585713086,29.320561368532186
LOAL-142,0.43928375704634554,0.555058668811439,85.40443109064768
LOAL-143,0.9038368150223639,0.7953354526998838,148.31272048007548
LOAL-15,0.2511169500514447,0.4825741858350554,72.93215654385492
LOAL-16,0.640014023675628,0.6422168082702681,117.29088128229904
LOAL-17,0.5955220308284976,0.6932230425112113,98.78840410834228
LOAL-18,0.6636016319257791,0.45978230136324216,80.53280197738646
LOAL-19,0.31369661214680156,0.3068333667023715,51.40640457234062
LOAL-2,0.3198595721068678,0.2630086350881871,38.61003047208918
LOAL-20,0.29295119050959206,0.4640528589688359,61.97358477719543
LOAL-21,0.40186461711017335,0.6344775920743009,96.9251785161172
LOAL-22,0.5180467248546341,0.5186454588357458,54.86025309398944
